t,x_est,y_est,theta_est,x_gt,y_gt,theta_gt,error,n_particles
1,0.06461099489934728,-0.12741134109249094,2.4668370657198415,-0.547518,-0.55,-8.2e-05,0.7438300081562534,1213
2,0.16063784201275907,-0.06334226356625683,1.2327502349872805,-0.544518,-0.55,-8.2e-05,0.8567849870040545,871
3,0.27279671672163763,-0.0023459484326065283,1.115413039880992,-0.541518,-0.550001,-8.2e-05,0.981343218948766,484
4,0.3652381545892213,0.02806583350818169,1.1054745924145273,-0.538518,-0.550001,-8.2e-05,1.0728170631380136,387
5,0.38042325630768475,0.07785974542789455,1.2330066718434292,-0.535518,-0.550001,-8.2e-05,1.1104762494784708,284
6,0.43602104239200284,0.07012677553319699,1.1420554145225552,-0.532518,-0.550001,-8.2e-05,1.1500549267862683,221
7,0.44620098612353537,0.07277684390610709,1.1753130763816602,-0.529518,-0.550002,-8.2e-05,1.157532301190324,187
8,0.514501042124149,0.03229818389645643,1.0429062329014906,-0.526518,-0.550002,-8.2e-05,1.1928093520051424,169
9,0.5284849705255378,0.02492135316177439,1.00157339174252,-0.523518,-0.550002,-8.2e-05,1.1988524146054567,169
10,0.5190733224946045,0.021895817920834507,1.0004937600681312,-0.520518,-0.550002,-8.2e-05,1.186514741564003,169
11,0.5211208198914196,-0.009312968317148776,0.9364236559893824,-0.517518,-0.550003,-8.2e-05,1.1709467573492158,150
12,0.5503052457296823,-0.03338205098257449,0.8844147871353877,-0.514518,-0.550003,-8.2e-05,1.1835310513923836,150
13,0.608908062823692,-0.06613558488905455,0.8132492099001403,-0.511518,-0.550003,-8.2e-05,1.220443459428067,150
14,0.6428048100502035,-0.09083435752467856,0.7665298421544249,-0.508518,-0.550003,-8.2e-05,1.2395079891531666,130
15,0.6533849248140551,-0.07032978543335011,0.8017688478932969,-0.505518,-0.550004,-8.2e-05,1.254250111127244,107
16,0.6490623720912511,-0.060639088402089,0.815124012380876,-0.502518,-0.550004,-8.2e-05,1.2512455275001209,107
17,0.5837826565975549,-0.033015586893399465,0.8404940765911625,-0.499518,-0.550004,-8.2e-05,1.2003405066360024,107
18,0.6310788407132957,-0.06351816002565641,0.7938382005090002,-0.496518,-0.550004,-8.2e-05,1.2280647815494703,130
19,0.5807508384179659,0.018918793340838392,0.948131414470832,-0.493518,-0.550005,-8.2e-05,1.2156182870561032,107
20,0.61705586639033,-0.007245214720782045,0.8969982386556055,-0.490518,-0.550005,-8.2e-05,1.233413172471888,107
21,0.6293052637314005,-0.032359173321013505,0.8456345773639351,-0.487518,-0.550005,-8.2e-05,1.2309554842843946,107
22,0.6476842932882234,-0.0655069913749695,0.7844134225069909,-0.484518,-0.550005,-8.2e-05,1.2315114101333906,107
23,0.6763797652665205,-0.09421121658296623,0.7386469932358423,-0.481518,-0.550005,-8.2e-05,1.2443774378422394,107
24,0.6942106088252421,-0.09649071895542731,0.7381958800084387,-0.478518,-0.550006,-8.2e-05,1.2573656986327109,107
25,0.6724069105446703,-0.0515180840461215,0.8047013624820135,-0.475518,-0.550006,-8.2e-05,1.2514878355785286,107
26,0.6922302097293366,-0.08448011695974542,0.7494422079980372,-0.472518,-0.550006,-8.2e-05,1.2543335839592684,107
27,0.6570809203880292,-0.056549976037177,0.7833400404341107,-0.469518,-0.550006,-8.2e-05,1.2299284430423876,107
28,0.6537356492206957,-0.035817301781367064,0.8178584233711222,-0.466518,-0.550007,-8.2e-05,1.2326229286957364,107
29,0.6760086477897025,-0.05717194278719734,0.781422805937265,-0.463518,-0.550007,-8.2e-05,1.2415342825072462,107
30,0.6288972460164276,-0.0016717618210481014,0.8713252113238507,-0.460518,-0.550007,-8.2e-05,1.2196299076694541,107
31,0.6088065566943561,0.05006959063893293,0.9741015655157513,-0.457518,-0.550007,-8.2e-05,1.223576713917955,100
32,0.5946113351936554,0.06814092039676797,1.0109588305265962,-0.454518,-0.550008,-8.2e-05,1.217694727652038,100
33,0.6179055641941371,0.04480073775081875,0.958395295964078,-0.451518,-0.550008,-8.2e-05,1.2237091950943304,100
34,0.5886110650618175,0.07990084698264167,1.0321674933734328,-0.448518,-0.550008,-8.2e-05,1.2134339096559816,100
35,0.5432123945545924,0.13094703936452212,1.1565758633135075,-0.445518,-0.550008,-8.2e-05,1.200536362944504,100
36,0.5211085033769158,0.15770118892961735,1.225656157677195,-0.442518,-0.550009,-8.2e-05,1.195587616833336,100
37,0.5755437719488642,0.10160517156413823,1.07315052271612,-0.439518,-0.550009,-8.2e-05,1.2062136748748897,100
38,0.5686167206970104,0.11141737840325865,1.093507037235537,-0.436518,-0.550009,-8.2e-05,1.2032375745455708,100
39,0.5856566808851846,0.09741031577262917,1.0545900753973387,-0.433518,-0.550009,-8.2e-05,1.207422378703044,100
40,0.5080097575799879,0.1815588018291902,1.2764313917566277,-0.430518,-0.55001,-8.2e-05,1.1899694380772632,100
41,0.4676062044922828,0.22548895563335378,1.4103000412553284,-0.427518,-0.55001,-8.2e-05,1.1843335559108188,107
42,0.40876202954100405,0.28938617667056815,1.6210702431763497,-0.424518,-0.55001,-8.2e-05,1.1827685948827964,107
43,0.37880458658501925,0.32228278124593224,1.7292151733269865,-0.421518,-0.55001,-8.2e-05,1.183812036943323,107
44,0.3266701769138171,0.37790772360050645,1.9132986822417455,-0.418518,-0.550011,-8.2e-05,1.190100238055825,107
45,0.27243478124355125,0.4336720552769201,2.080801498850537,-0.415518,-0.550011,-8.2e-05,1.2003796826253241,107
46,0.21017234340291394,0.4966210030784228,2.244182117913886,-0.412518,-0.550011,-8.2e-05,1.2178595213057992,107
47,0.170281250307965,0.536623707501511,2.3320753917168773,-0.409518,-0.550011,-8.2e-05,1.231642057663091,107
48,0.1564544350303581,0.5509079714994527,2.356878823307813,-0.406518,-0.550012,-8.2e-05,1.236512331620824,100
49,0.14772487655567598,0.5599596810449186,2.3760222496202443,-0.403518,-0.550012,-8.2e-05,1.2393166833683225,100
50,0.09616162686505157,0.6103707783487433,2.468312349447789,-0.400518,-0.550012,-8.2e-05,1.2622118855529587,100
51,0.018838724005247172,0.6856029435962174,2.5789877911846024,-0.397518,-0.550012,-8.2e-05,1.303877759018331,100
52,-0.0006214467727779472,0.7033946624096087,2.6010393443957653,-0.394518,-0.550013,-8.2e-05,1.3138436980217263,100
53,-0.011360502256286448,0.7128534337846989,2.610303959634019,-0.391518,-0.550013,-8.2e-05,1.3188447037732853,100
54,-0.0041513526063568775,0.7053574739170674,2.60299441572413,-0.388518,-0.550013,-8.2e-05,1.3128947963989315,100
55,-0.007054323765054813,0.707065245587654,2.6031803319758353,-0.385518,-0.550013,-8.2e-05,1.3128139509309777,100
56,-0.000904602519851871,0.7005149783754092,2.593151461688414,-0.382518,-0.550014,-8.2e-05,1.3074599461906993,100
57,-0.011441038480767692,0.7100066401191932,2.603489550599052,-0.379518,-0.550014,-8.2e-05,1.3126814781688707,100
58,-0.02217736843039199,0.719175085604933,2.6132663566490226,-0.376518,-0.550014,-8.2e-05,1.3177246367127826,100
59,-0.02444685887089978,0.7204098047965696,2.614063879812458,-0.373518,-0.550014,-8.2e-05,1.3175079906258498,100
60,-0.03814560386624958,0.7319125383226194,2.6254596494816904,-0.370518,-0.550015,-8.2e-05,1.3243147749766977,126
61,-0.04208493679758371,0.7347848473932104,2.6271632862913563,-0.367518,-0.550015,-8.2e-05,1.3253744099260873,173
62,-0.045601793780196596,0.73705532054866,2.6280664607016018,-0.364518,-0.550015,-8.2e-05,1.3259930454670048,210
63,-0.04275064341708654,0.7339982802092583,2.6219117229218853,-0.361518,-0.550015,-8.2e-05,1.322990072289508,100
64,-0.0517196370040635,0.7409967273495647,2.629081556111026,-0.358518,-0.550016,-8.2e-05,1.3269661253082339,323
65,-0.047979696340300956,0.7375049962292214,2.6233413636496743,-0.355518,-0.550016,-8.2e-05,1.3237409580234993,122
66,-0.05096694299365591,0.7394343937504236,2.623309637787561,-0.352518,-0.550016,-8.2e-05,1.3242414273555883,130
67,-0.04888657636010785,0.7375976061670928,2.637493847773664,-0.351192,-0.550015,0.016565,1.3226242069168805,100
68,-0.05101603167619208,0.7399450890458612,2.674343353192985,-0.350925,-0.55001,0.047966,1.32436004207178,174
69,-0.05056528154797739,0.7391033403025914,2.7082057129514427,-0.350833,-0.550012,0.077369,1.3236234598056384,107
70,-0.045678830508596294,0.7361713720827535,2.7263908787105655,-0.350827,-0.550011,0.105781,1.3218852066652282,107
71,0.041854203192728964,0.3776636706103914,2.45962944198333,-0.350844,-0.55001,0.134165,1.0073680151436986,1201
72,0.0330015866184055,0.13537297473435256,0.3806330702184767,-0.350862,-0.55001,0.162573,0.7855578114863706,5000
73,0.04582296587978605,0.07096085810980948,-0.39944742625201224,-0.350878,-0.550009,0.190971,0.7368685235582206,5000
74,0.04078735888017258,0.0038925288083974012,-0.7884893155454955,-0.350892,-0.550008,0.219352,0.6783940713088561,5000
75,0.03252759222114096,-0.04929912207906428,-1.4155158540193142,-0.350905,-0.550007,0.247714,0.6306575392314838,5000
76,0.013770881044890219,-0.04990931781739789,-2.7144832265405356,-0.350915,-0.550006,0.276058,0.6189446529081047,5000
77,0.02291516665043386,-0.06902565668074831,2.42369092404478,-0.350924,-0.550005,0.304386,0.6091771919743133,5000
78,0.026434728948378183,-0.032767576727468765,2.100230383610371,-0.350931,-0.550005,0.332699,0.6402651368131397,5000
79,0.05899962112566238,-0.06604286066078169,-0.7025553532381814,-0.350937,-0.550004,0.360998,0.6342447616893964,5000
80,0.03379464240427598,-0.05555800463616915,-1.7875474497555075,-0.350943,-0.550003,0.389287,0.6264973319361697,5000
81,0.042425100264797046,-0.04454735776234739,-1.4150576935275445,-0.350947,-0.550002,0.417565,0.6404888793931796,5000
82,0.04111885261910467,-0.05867901235908753,-0.9671888865997673,-0.350951,-0.550002,0.445836,0.6285833656064712,5000
83,0.048238943747453196,-0.053590177575548695,-0.7475132540675973,-0.350954,-0.550001,0.474099,0.6370076223703115,5000
