timestamp,x_est,y_est,theta_est,x_gt,y_gt,theta_gt,error,n_particles,update_time_ms
0.22,-0.3740487380116964,-0.4827624700634462,-0.018507817455134395,-0.4588,-0.55,0.0,0.10818346380375814,1000,377.89273262023926
0.42,-0.3189101137798927,-0.485143569371502,-0.09996922600699316,-0.4588,-0.55,0.0,0.15419318033085558,1000,826.8852233886719
0.62,-0.26591387469808314,-0.49988680007096215,-0.1586725591901366,-0.4588,-0.55,0.0,0.19928971408759283,1000,859.4415187835693
0.82,-0.22382040371315975,-0.5259676024776123,-0.24753079779130815,-0.4588,-0.55,0.0,0.23620534880014993,1000,780.7421684265137
1.02,-0.19264742652717398,-0.5585110255329598,-0.3031182703511657,-0.4588,-0.55,0.0,0.26628862146518906,1000,746.6757297515869
1.22,-0.17431188686600727,-0.5637962637811255,-0.34890859236150856,-0.4588,-0.55,0.0,0.28482244189820755,1000,796.8559265136719
1.42,-0.1578173392666743,-0.5756072169213402,-0.4110438726681331,-0.4588,-0.55,0.0,0.30207001112419085,1000,808.9563846588135
1.62,-0.1450484837585941,-0.5804278819984332,-0.4736852240613527,-0.4588,-0.55,0.0,0.31522352378382507,1000,758.4302425384521
1.82,-0.13876259625975948,-0.5854620958486946,-0.5159349886654632,-0.4588,-0.55,0.0,0.32199611804302186,1000,760.016918182373
2.02,-0.1374331538000996,-0.5869474213285999,-0.5592250706057019,-0.4588,-0.55,0.0,0.32348378905179087,1000,798.7987995147705
2.22,-0.12818047187790854,-0.591641844272812,-0.5964856727231255,-0.4588,-0.55,0.0,0.33323162450481125,1000,823.3425617218018
2.42,-0.12735421856611456,-0.5931251243062517,-0.6622038983901423,-0.4588,-0.55,0.0,0.3342395583660746,1000,776.7248153686523
2.62,-0.1281355585538962,-0.5944300774150836,-0.7113400783965268,-0.4588,-0.55,0.0,0.3336360361471376,1000,761.5864276885986
2.82,-0.12934353751533786,-0.5940767853504939,-0.7862535191692223,-0.4588,-0.55,0.0,0.33239182252236754,1000,770.5709934234619
3.02,-0.130366584407532,-0.5962929177212011,-0.8388262927976929,-0.4588,-0.55,0.0,0.33167987986743586,1000,773.7133502960205
3.22,-0.13380996967583966,-0.5960299673575385,-0.8829846869739372,-0.4588,-0.55,0.0,0.32823357187380253,1000,774.7080326080322
3.42,-0.12894340496849158,-0.6081937723773935,-0.9362974279426369,-0.444378,-0.550001,-7.6e-05,0.3207575135513724,1000,829.9479484558105
3.62,-0.11173093976161556,-0.6308508467282675,-0.9435768794565054,-0.414377,-0.550003,-7.6e-05,0.31325869836033804,1000,790.4164791107178
3.82,-0.09753227782238147,-0.6489121014617681,-0.9455100218005735,-0.389867,-0.550005,-3e-06,0.3086133576341665,1000,733.0012321472168
4.02,-0.09472712915807628,-0.6471152761902993,-0.9391570400161274,-0.389868,-0.550005,-3e-06,0.3107065164799176,1000,732.717752456665
4.22,-0.09137867518956992,-0.6514538230806531,-0.9512160126211201,-0.384446,-0.550005,-7.8e-05,0.31012952225802654,1000,774.6477127075195
4.42,-0.06700299454629012,-0.6711477404239579,-0.930835717095829,-0.354445,-0.550008,-7.8e-05,0.31192586171915027,1000,779.0000438690186
4.62,-0.03214356880792344,-0.6820012975975087,-0.8662753504820075,-0.324445,-0.55001,-7.8e-05,0.3207207965168619,1000,760.0064277648926
4.82,0.009750596864811192,-0.6871800497320902,-0.7853473367560891,-0.294445,-0.550013,-7.8e-05,0.33369111568057136,1000,777.6734828948975
5.02,0.048485578389914956,-0.6885192051861481,-0.6842154772411574,-0.264445,-0.550015,-7.8e-05,0.34221186675171467,1000,758.5668563842773
5.22,0.09204780468368755,-0.6735527896437238,-0.5056776351718711,-0.234445,-0.550017,-7.8e-05,0.34908257308711205,1000,734.0352535247803
5.42,0.13352110286674168,-0.6477032535178995,-0.3158193805974014,-0.204445,-0.55002,-7.8e-05,0.35179980770997477,1000,744.6703910827637
5.62,0.16859938520190873,-0.6290914845134449,-0.20763408026250899,-0.174445,-0.550022,-7.8e-05,0.3520389660247533,1000,738.0008697509766
5.82,0.19808839494446503,-0.6224633011234799,-0.1687225743246699,-0.144445,-0.550024,-7.8e-05,0.3501093814787588,1000,734.9996566772461
6.02,0.22785645235773133,-0.6230621264346653,-0.15891052726318708,-0.114445,-0.550027,-7.8e-05,0.35000630562825547,5000,907.5052738189697
6.22,0.2554933970169121,-0.6257600927997703,-0.15382805371969835,-0.084445,-0.550029,-7.8e-05,0.34827189404698616,5000,4262.298107147217
6.42,0.2804542317936179,-0.6283798912305087,-0.14746529083612056,-0.054445,-0.550031,-7.8e-05,0.3439419198251436,5000,4259.8254680633545
6.62,0.30339331817858894,-0.6308023074199524,-0.13916177448322697,-0.024445,-0.550034,-7.8e-05,0.3376410554859252,5000,4305.050373077393
6.82,0.3181974038350644,-0.631385931892282,-0.07101710169608151,-0.0023,-0.550032,0.047227,0.33066153102432466,1000,3775.4814624786377
7.02,0.22622581277263204,-0.6193817761331954,0.05224335833564688,-0.002338,-0.550023,0.209435,0.23885572284510478,1000,763.5054588317871
