timestamp,x_est,y_est,theta_est,x_gt,y_gt,theta_gt,error,n_particles,update_time_ms
0.22,-0.3694515145052815,-0.5049175969614168,-0.05506285230926738,-0.4588,-0.55,0.0,0.10007784432097434,750,203.033447265625
0.42,-0.3256869284791102,-0.5012342044362368,-0.1805501042112581,-0.4588,-0.55,0.0,0.14176456759956726,750,305.51862716674805
0.62,-0.2834554012871091,-0.5265508502589205,-0.2958708015734324,-0.4588,-0.55,0.0,0.17690559889772936,750,299.50952529907227
0.82,-0.2552078463684693,-0.5537228762126185,-0.4094556449442798,-0.4588,-0.55,0.0,0.20362618895323673,750,317.60096549987793
1.02,-0.26968632637992485,-0.5701662712147493,-0.5613431896401498,-0.4588,-0.55,0.0,0.19018585658451873,750,298.663854598999
1.22,-0.29522003123429424,-0.5915003312584273,-0.7458197762178728,-0.4588,-0.55,0.0,0.16876221044993592,750,289.66832160949707
1.42,-0.3347970479285258,-0.6028474206345554,-0.9376538197113443,-0.4588,-0.55,0.0,0.13479459184316686,750,298.0005741119385
1.62,-0.3562384119530116,-0.6073535591698486,-1.083052209328474,-0.4588,-0.55,0.0,0.11750876602266516,750,297.03760147094727
1.82,-0.3854810232443907,-0.6109229086644139,-1.228284068183936,-0.4588,-0.55,0.0,0.09532718999646474,750,303.48849296569824
2.02,-0.42640105932649713,-0.6156250894925448,-1.3883996013474331,-0.4588,-0.55,0.0,0.07318704617396213,750,309.00001525878906
2.22,-0.453221207176222,-0.6198577589501135,-1.4899015291352988,-0.4588,-0.55,0.0,0.07008016420430817,750,315.7520294189453
2.42,-0.4650775576223622,-0.6217321064692414,-1.5367749606409271,-0.4588,-0.55,0.0,0.07200626936744225,750,309.0031147003174
2.62,-0.4695552219989862,-0.6214534637265198,-1.5559487074392744,-0.4588,-0.55,0.0,0.07225837168636273,750,290.3280258178711
2.82,-0.49051017471454317,-0.6221274197430435,-1.6179887526910646,-0.4588,-0.55,0.0,0.07879022692704998,750,303.03025245666504
3.02,-0.5021150089120214,-0.6216737686830064,-1.643602352098587,-0.4588,-0.55,0.0,0.08374556175866037,750,294.5742607116699
3.22,-0.5040798186680931,-0.6222739919964965,-1.6501995765100799,-0.4588,-0.55,0.0,0.08528652823116337,750,290.52257537841797
3.42,-0.5075336899418106,-0.6371474688272497,-1.6530814675325745,-0.444378,-0.550001,-7.6e-05,0.10762503519667219,750,283.031702041626
3.62,-0.49536210696499794,-0.6658804984533292,-1.6321641540180818,-0.414377,-0.550003,-7.6e-05,0.14137249448861494,750,292.96326637268066
3.82,-0.454270151078664,-0.6880190915788262,-1.5670217398111264,-0.389867,-0.550005,-3e-06,0.15230119941481043,750,287.70923614501953
4.02,-0.3668071214941335,-0.6849545452899491,-1.4144244342764256,-0.389868,-0.550005,-3e-06,0.13690574820447235,750,302.0508289337158
4.22,-0.2209980831866694,-0.6859086675649779,-1.1346848970962118,-0.384446,-0.550005,-7.8e-05,0.21256770302242411,750,295.9861755371094
4.42,-0.053125670627245894,-0.7014486462121268,-0.8429820166036998,-0.354445,-0.550008,-7.8e-05,0.337235240713056,750,287.54401206970215
