t,x_est,y_est,theta_est,x_gt,y_gt,theta_gt,error,n_particles
1,0.05636289735445836,-0.022202817534751933,-1.1758952793096122,-0.547518,-0.55,-8.2e-05,0.802023692921774,1177
2,0.12829182061900568,-0.11472884729704026,-0.6007422792057883,-0.544518,-0.55,-8.2e-05,0.8013326594472122,809
3,0.19985673721919386,-0.2427599649010794,-0.23686001535090848,-0.541518,-0.550001,-8.2e-05,0.8025170120536292,617
4,0.31221318971351497,-0.3466695441817743,0.11482173391062415,-0.538518,-0.550001,-8.2e-05,0.8746926534940898,500
5,0.436805761030732,-0.4005205366302951,0.28826683179949686,-0.535518,-0.550001,-8.2e-05,0.9837468704876117,500
6,0.5511886749803641,-0.4328893317227721,0.38281605614097153,-0.532518,-0.550001,-8.2e-05,1.0900161926520504,500
7,0.6180879249556184,-0.4535198809575408,0.411330741882453,-0.529518,-0.550002,-8.2e-05,1.1516545307895782,500
8,0.6615832523133579,-0.46666922037382075,0.431387612094195,-0.526518,-0.550002,-8.2e-05,1.1910201248966343,500
9,0.7054073670733642,-0.4721406398706167,0.4487577323181677,-0.523518,-0.550002,-8.2e-05,1.231389438495231,500
10,0.7135002259236732,-0.46914840120579077,0.4509584134859599,-0.520518,-0.550002,-8.2e-05,1.2366641768684759,500
11,0.7343606601632041,-0.4683056205049768,0.4727380338449328,-0.517518,-0.550003,-8.2e-05,1.2545416061607415,500
12,0.7464748513085764,-0.4654298785140309,0.47870289853569375,-0.514518,-0.550003,-8.2e-05,1.26382577277456,500
13,0.773097813477425,-0.4624810055302172,0.5014810851793606,-0.511518,-0.550003,-8.2e-05,1.2875938364842523,500
14,0.7845167969789585,-0.46034344694565077,0.5096148126375651,-0.508518,-0.550003,-8.2e-05,1.2961395841699774,500
15,0.7885377992456851,-0.4581987336246653,0.5096707617335917,-0.505518,-0.550004,-8.2e-05,1.297308220314523,500
16,0.7927258827228036,-0.4568446663274807,0.5115840504607987,-0.502518,-0.550004,-8.2e-05,1.2985897647760634,500
17,0.793893469201265,-0.45520290939021607,0.5096188889426879,-0.499518,-0.550004,-8.2e-05,1.2968810567828415,500
18,0.7980671104049563,-0.45384647487283347,0.511556274653857,-0.496518,-0.550004,-8.2e-05,1.2981513308242592,500
19,0.8005795809680373,-0.45243360530716725,0.5115917397695533,-0.493518,-0.550005,-8.2e-05,1.297770675477617,500
20,0.8031526676600731,-0.4509882957753956,0.5115671314298289,-0.490518,-0.550005,-8.2e-05,1.2974544709081557,500
21,0.805772371504427,-0.4495130281657269,0.5116307641854287,-0.487518,-0.550005,-8.2e-05,1.2971887377822855,500
22,0.8083351443340806,-0.44806961613997737,0.5117283002831285,-0.484518,-0.550005,-8.2e-05,1.2968654808025424,500
23,0.8093724833380785,-0.446533364910684,0.5097087564212845,-0.481518,-0.550005,-8.2e-05,1.2950307406547825,500
24,0.8120333107672957,-0.44504601460443927,0.5096702073638711,-0.478518,-0.550006,-8.2e-05,1.2948124513833736,500
25,0.8145286667301875,-0.4436494266401822,0.5096537734477038,-0.475518,-0.550006,-8.2e-05,1.294423471294657,500
26,0.8186228107436051,-0.442290182537186,0.5116389913389581,-0.472518,-0.550006,-8.2e-05,1.2956262155804568,500
27,0.8221229287306571,-0.44086382584990624,0.5127600983499181,-0.469518,-0.550006,-8.2e-05,1.2962439210852268,1193
28,0.8249124647176984,-0.43943411965625534,0.5129900363852223,-0.466518,-0.550007,-8.2e-05,1.2961554717966832,1847
29,0.8279098018295802,-0.4379926994746768,0.5135448691756448,-0.463518,-0.550007,-8.2e-05,1.2962765796158469,5000
30,0.830467169318647,-0.43655196210333097,0.5135153684087307,-0.460518,-0.550007,-8.2e-05,1.2959609380783166,5000
31,0.8330303316820513,-0.43510607315454336,0.5135292338170723,-0.457518,-0.550007,-8.2e-05,1.2956532018241884,5000
32,0.8355963092497583,-0.4336591335853584,0.5135226886704575,-0.454518,-0.550008,-8.2e-05,1.2953501417172706,5000
33,0.8381988441171178,-0.43219062865900165,0.5135392608601596,-0.451518,-0.550008,-8.2e-05,1.2950870515100985,5000
34,0.8407990185463134,-0.43072362781536655,0.5135296709637447,-0.448518,-0.550008,-8.2e-05,1.2948232063724519,5000
35,0.8433626765489745,-0.4292770149408506,0.5135424258230987,-0.445518,-0.550008,-8.2e-05,1.2945228345358357,5000
36,0.8459016770397295,-0.42784450571824,0.5135629697183534,-0.442518,-0.550009,-8.2e-05,1.2941983726795052,5000
37,0.8485343973890788,-0.42636000754028164,0.5135647189053312,-0.439518,-0.550009,-8.2e-05,1.2939737446161945,5000
38,0.8511549929273413,-0.42488029090617324,0.5135966104815188,-0.436518,-0.550009,-8.2e-05,1.2937383547510466,5000
39,0.8538072324659887,-0.4233859980998811,0.5135747398360712,-0.433518,-0.550009,-8.2e-05,1.2935376448924125,5000
40,0.8563723056523055,-0.42193695486626787,0.5136255752997252,-0.430518,-0.55001,-8.2e-05,1.2932476033891234,5000
41,0.858933865979203,-0.42049268559379627,0.5136227306565406,-0.427518,-0.55001,-8.2e-05,1.2929551957482397,5000
42,0.8615206751709898,-0.41903212437057763,0.5136193078607494,-0.424518,-0.55001,-8.2e-05,1.2926912539117572,5000
43,0.8641047415296988,-0.41757113615416674,0.5136563250728654,-0.421518,-0.55001,-8.2e-05,1.2924263561979514,5000
44,0.8666855698225517,-0.4161151441684636,0.5136923197988127,-0.418518,-0.550011,-8.2e-05,1.2921595551995466,5000
45,0.8692400555244126,-0.41467506496584583,0.5136971161494487,-0.415518,-0.550011,-8.2e-05,1.2918665087950993,5000
46,0.8718090020057229,-0.4132246035937017,0.5136978776652408,-0.412518,-0.550011,-8.2e-05,1.291590634188259,5000
47,0.8744006986353015,-0.4117630717587585,0.513682986883889,-0.409518,-0.550011,-8.2e-05,1.291340278303268,5000
48,0.8769360207625242,-0.410334626983431,0.5136891616406448,-0.406518,-0.550012,-8.2e-05,1.2910321421034798,5000
49,0.8794917805892374,-0.4088911357630422,0.5136977516206208,-0.403518,-0.550012,-8.2e-05,1.2907475335675171,5000
