t,x_est,y_est,theta_est,x_gt,y_gt,theta_gt,error,n_particles
1,0.1437593090065088,0.056076199148195206,1.5365570068674235,-0.547518,-0.55,-8.2e-05,0.9193436121065959,1500
2,0.23351348857857201,0.03941004975433051,1.4216049249379363,-0.544518,-0.55,-8.2e-05,0.9760825805080177,1500
3,0.31957042242513856,0.05487723141818855,1.2106680693294036,-0.541518,-0.550001,-8.2e-05,1.0523074389541345,1500
4,0.43068309654359027,0.07312959994970805,1.0543865411891844,-0.538518,-0.550001,-8.2e-05,1.1522337046515263,1500
5,0.5308308855949756,0.056446484359969185,0.9692508004081241,-0.535518,-0.550001,-8.2e-05,1.2267348927523751,1500
6,0.6025993571676507,0.04958681842699615,0.9139663610344414,-0.532518,-0.550001,-8.2e-05,1.2837433413846073,1500
7,0.6626654560538383,0.040912175434614985,0.876129509849526,-0.529518,-0.550002,-8.2e-05,1.3305942114777312,1500
8,0.7002891991584078,0.027872836306725195,0.8501115321978371,-0.526518,-0.550002,-8.2e-05,1.3560955830410415,1500
9,0.7298391986623541,0.021770560564505655,0.832377668752401,-0.523518,-0.550002,-8.2e-05,1.3776168293299975,1500
10,0.7511670962625201,0.01292077820677969,0.8193216434711861,-0.520518,-0.550002,-8.2e-05,1.3907066686689378,1500
11,0.7628092389278421,0.013410007922729833,0.8190154726699187,-0.517518,-0.550003,-8.2e-05,1.3988109437079517,1500
12,0.7724621709242486,0.011079278780308802,0.8127495340195096,-0.514518,-0.550003,-8.2e-05,1.4039698301293773,1500
13,0.7809428055344634,0.008812073414908935,0.8093397941224773,-0.511518,-0.550003,-8.2e-05,1.4080941801308973,1500
14,0.7829631741921894,0.010386867534952791,0.8047859744833001,-0.508518,-0.550003,-8.2e-05,1.4078211629779822,1500
15,0.7860636188636017,0.01037737398315741,0.8013291635373828,-0.505518,-0.550004,-8.2e-05,1.4079099269816848,1500
16,0.7872001363156064,0.011324132198667873,0.7982135356599062,-0.502518,-0.550004,-8.2e-05,1.406578168158118,1500
17,0.7869178007273506,0.009260975639732837,0.7882593587229846,-0.499518,-0.550004,-8.2e-05,1.4027453020311031,1500
18,0.7853625589961815,0.006685700445410841,0.7765761541976338,-0.496518,-0.550004,-8.2e-05,1.397541122870581,1500
19,0.7837389853723118,0.0039134424308757245,0.764405100125734,-0.493518,-0.550005,-8.2e-05,1.392196483096913,1500
20,0.781940292645015,0.0007819395632235458,0.7514106756453134,-0.490518,-0.550005,-8.2e-05,1.3865483616933412,1500
21,0.7809140001451261,-0.00144694470795367,0.7406779254981156,-0.487518,-0.550005,-8.2e-05,1.3819680455849754,1500
22,0.7744552640346598,-0.011147750870076684,0.7110549258506231,-0.484518,-0.550005,-8.2e-05,1.3694454404955143,1500
23,0.7693000186446782,-0.019284663729481295,0.6856217269323988,-0.481518,-0.550005,-8.2e-05,1.358753027999309,1500
24,0.7660431464288214,-0.02503227214375112,0.6665404283080695,-0.478518,-0.550006,-8.2e-05,1.3507515915739317,1500
25,0.7622947848969163,-0.031627066805594135,0.6452580462404156,-0.475518,-0.550006,-8.2e-05,1.3419751148341126,1500
26,0.7564574892113767,-0.04139107193736535,0.6161603295830985,-0.472518,-0.550006,-8.2e-05,1.3300638699440346,1500
27,0.7469192116016992,-0.056712963982209076,0.5733033936055588,-0.469518,-0.550006,-8.2e-05,1.3126528517292633,1500
28,0.7414863171240254,-0.06649403134234524,0.5448844610323818,-0.466518,-0.550007,-8.2e-05,1.3011760914843236,1500
