t,x_est,y_est,theta_est,x_gt,y_gt,theta_gt,error,n_particles
1,0.05944875126955635,0.053558905739868004,0.235950718102225,-0.547518,-0.55,-8.2e-05,0.8559742927475255,1225
2,0.052308131156753465,0.04693935302605753,-0.07150189258235105,-0.544518,-0.55,-8.2e-05,0.8441196728087235,1000
3,0.010107798769979354,0.11674232553504284,-0.31222912563493155,-0.541518,-0.550001,-8.2e-05,0.865354080139538,1000
4,-0.03614036865512455,0.16272886289722713,-0.5013357385461547,-0.538518,-0.550001,-8.2e-05,0.8719903336282965,1000
5,-0.08108535439453403,0.21260517091093298,-1.0033048767716064,-0.535518,-0.550001,-8.2e-05,0.8877371239862722,1000
6,-0.11237299702513703,0.2570153824097927,-1.2834521727911385,-0.532518,-0.550001,-8.2e-05,0.9098336468841633,1000
7,-0.13046429340160498,0.29318477581194385,-1.9972795433428556,-0.529518,-0.550002,-8.2e-05,0.9328492909650836,1000
8,-0.14365647171618753,0.34342593298389845,2.75902884481187,-0.526518,-0.550002,-8.2e-05,0.972006389524111,1000
9,-0.15848193063470287,0.3938542918739659,2.538308148226103,-0.523518,-0.550002,-8.2e-05,1.0119861815497972,1000
10,-0.1686442383072997,0.420628725773099,2.4936345694731092,-0.520518,-0.550002,-8.2e-05,1.0324432914124555,1000
11,-0.1801212003582092,0.4570231103830324,2.4347884732381893,-0.517518,-0.550003,-8.2e-05,1.0620443434253122,1000
12,-0.17965837420383834,0.47052192279547966,2.3969526397572003,-0.514518,-0.550003,-8.2e-05,1.074058698132958,1000
13,-0.17547645558654476,0.47599479733354405,2.3466670677626036,-0.511518,-0.550003,-8.2e-05,1.079627435602238,1000
14,-0.15741814486936617,0.47028322184797045,2.249586902607212,-0.508518,-0.550003,-8.2e-05,1.0790065258215809,1000
15,-0.1516099965311952,0.469138684085565,2.233760104287341,-0.505518,-0.550004,-8.2e-05,1.0788432163407273,1000
16,-0.15347927862333724,0.4835108234066285,2.2070848424807936,-0.502518,-0.550004,-8.2e-05,1.0908624657680226,1000
17,-0.15897609461102988,0.4934494838029988,2.233878527310701,-0.499518,-0.550004,-8.2e-05,1.097617402461607,1000
18,-0.17894257141975756,0.48438829402221656,2.3330629683901574,-0.496518,-0.550004,-8.2e-05,1.0820450872170109,1000
19,-0.17249504388077228,0.4850703173783059,2.302077645543045,-0.493518,-0.550005,-8.2e-05,1.0837142847638985,1000
20,-0.19071043860688286,0.4891969122888742,2.359685488826117,-0.490518,-0.550005,-8.2e-05,1.0815845729175968,1000
21,-0.19638460592208293,0.4800288155311628,2.427512449420528,-0.487518,-0.550005,-8.2e-05,1.0703869927671081,1000
22,-0.2123437431882333,0.4911976270346562,2.4944284321448564,-0.484518,-0.550005,-8.2e-05,1.0761885228039307,1000
23,-0.21902069445886946,0.4796004340456661,2.5779386649193126,-0.481518,-0.550005,-8.2e-05,1.0625404393399427,1000
24,-0.22093169127997733,0.4506076354203987,2.7783194730440828,-0.478518,-0.550006,-8.2e-05,1.033236833368436,1000
