timestamp,range_0,range_16,range_32,range_48,range_64,range_80,range_96,range_112,range_128,range_144,range_160,range_176,range_192,range_208,range_224,range_240,range_256,range_272,range_288,range_304,range_320,range_336,range_352,odom_x,odom_y,odom_theta,v,w,gt_x,gt_y,gt_theta
0.020,0.254597,0.269194,0.311066,0.398137,0.622233,1.319740,1.308601,1.405555,1.662944,1.531229,1.314031,1.240231,0.893168,0.426110,0.284871,0.230205,0.204832,0.202098,0.215354,0.246384,0.310544,0.284667,0.264239,-0.458800,-0.550000,0.000000,0.000000,0.000000,-0.458800,-0.550000,0.000000
0.040,0.257712,0.273747,0.310780,0.388418,0.611877,1.322575,1.308629,1.412434,1.658321,1.519798,1.315731,1.242247,0.919704,0.416723,0.282300,0.237424,0.206970,0.202015,0.216352,0.237959,0.320891,0.282681,0.267393,-0.458800,-0.550000,0.000000,0.000000,0.000000,-0.458800,-0.550000,0.000000
0.060,0.268238,0.272106,0.311455,0.398199,0.611236,1.321007,1.318939,1.403204,1.653674,1.516080,1.322823,1.237941,0.919572,0.434675,0.270450,0.233973,0.206827,0.188570,0.206506,0.237450,0.320749,0.294664,0.267355,-0.458800,-0.550000,0.000000,0.000000,0.000000,-0.458800,-0.550000,0.000000
0.080,0.262686,0.271178,0.312170,0.394810,0.614484,1.320491,1.305626,1.411187,1.658738,1.523890,1.308008,1.247057,0.918566,0.427296,0.287143,0.228101,0.200229,0.202205,0.206068,0.248171,0.316445,0.284270,0.263060,-0.458800,-0.550000,0.000000,0.000000,0.000000,-0.458800,-0.550000,0.000000
0.100,0.259591,0.276546,0.310919,0.403663,0.617650,1.312866,1.308477,1.408882,1.655921,1.521212,1.303265,1.241946,0.896351,0.427029,0.263083,0.232017,0.206061,0.194888,0.204299,0.247265,0.312832,0.281357,0.257575,-0.458800,-0.550000,0.000000,0.000000,0.000000,-0.458800,-0.550000,0.000000
0.120,0.246601,0.266999,0.298014,0.386496,0.619926,1.317963,1.303537,1.403312,1.666018,1.521010,1.316158,1.241853,0.896186,0.418070,0.260034,0.229581,0.203594,0.196152,0.215403,0.225759,0.321109,0.293534,0.266122,-0.458800,-0.550000,0.000000,0.000000,0.000000,-0.458800,-0.550000,0.000000
0.140,0.256814,0.273767,0.305809,0.401478,0.613752,1.318058,1.308345,1.404996,1.663206,1.520368,1.314040,1.241438,0.910683,0.418910,0.285939,0.227639,0.208253,0.193055,0.207108,0.245431,0.312829,0.287725,0.261204,-0.458800,-0.550000,0.000000,0.000000,0.000000,-0.458800,-0.550000,0.000000
0.160,0.257673,0.273525,0.311269,0.397480,0.627330,1.319198,1.307953,1.409035,1.665471,1.515556,1.322620,1.239490,0.892643,0.419677,0.277968,0.226659,0.204850,0.202962,0.211676,0.243370,0.311922,0.288641,0.262152,-0.458800,-0.550000,0.000000,0.000000,0.000000,-0.458800,-0.550000,0.000000
0.180,0.254881,0.270633,0.300181,0.391920,0.627561,1.313593,1.312521,1.402751,1.672431,1.517312,1.320181,1.235730,0.892840,0.417097,0.285234,0.230514,0.205710,0.200223,0.212755,0.246526,0.313573,0.286555,0.265986,-0.458800,-0.550000,0.000000,0.000000,0.000000,-0.458800,-0.550000,0.000000
0.200,0.263713,0.267993,0.311637,0.385141,0.623728,1.319510,1.301732,1.405388,1.669792,1.526718,1.312918,1.241459,0.913144,0.426239,0.273863,0.231489,0.203034,0.196878,0.205159,0.216126,0.321280,0.287552,0.260616,-0.458800,-0.550000,0.000000,0.000000,0.000000,-0.458800,-0.550000,0.000000
0.220,0.257903,0.266236,0.305121,0.398225,0.613626,1.317735,1.302466,1.409109,1.663201,1.517077,1.309025,1.244458,0.920222,0.415305,0.280504,0.230061,0.206601,0.196661,0.211649,0.233810,0.323894,0.283161,0.264236,-0.458800,-0.550000,0.000000,0.000000,0.000000,-0.458800,-0.550000,0.000000
0.240,0.253181,0.269777,0.307510,0.389116,0.607620,1.321467,1.312601,1.405362,1.658150,1.530939,1.321651,1.237113,0.927483,0.414641,0.290569,0.234165,0.203443,0.187028,0.209769,0.241999,0.304770,0.289270,0.264309,-0.458800,-0.550000,0.000000,0.000000,0.000000,-0.458800,-0.550000,0.000000
0.260,0.265729,0.275061,0.308591,0.387440,0.609229,1.316494,1.303386,1.405271,1.658014,1.529972,1.321693,1.237284,0.919207,0.420027,0.274443,0.228007,0.206964,0.190951,0.202618,0.259012,0.315443,0.291563,0.257514,-0.458800,-0.550000,0.000000,0.000000,0.000000,-0.458800,-0.550000,0.000000
0.280,0.258371,0.276171,0.295386,0.384438,0.605074,1.321171,1.305764,1.409980,1.652874,1.519619,1.327590,1.247882,0.921080,0.417494,0.286265,0.237105,0.202344,0.198680,0.211625,0.240727,0.309386,0.281753,0.263600,-0.458800,-0.550000,0.000000,0.000000,0.000000,-0.458800,-0.550000,0.000000
0.300,0.255798,0.267505,0.318109,0.397044,0.621856,1.316593,1.317177,1.408345,1.660230,1.523384,1.314539,1.242347,0.918875,0.416755,0.287248,0.229359,0.207712,0.206041,0.219494,0.233047,0.313611,0.287576,0.267453,-0.458800,-0.550000,0.000000,0.000000,0.000000,-0.458800,-0.550000,0.000000
0.320,0.252833,0.278070,0.318554,0.397938,0.612246,1.326795,1.307063,1.406794,1.663701,1.526200,1.316017,1.237990,0.923144,0.426974,0.302762,0.225357,0.200895,0.192797,0.209727,0.237659,0.324451,0.276494,0.272058,-0.458800,-0.550000,0.000000,0.000000,0.000000,-0.458800,-0.550000,0.000000
0.340,0.261231,0.269025,0.309913,0.390323,0.620699,1.321521,1.306273,1.402103,1.669084,1.511996,1.315396,1.242914,0.920350,0.416489,0.285665,0.229850,0.196813,0.199121,0.208410,0.243825,0.319712,0.280814,0.266122,-0.458800,-0.550000,0.000000,0.000000,0.000000,-0.458800,-0.550000,0.000000
0.360,0.267081,0.272688,0.304954,0.389968,0.617034,1.316155,1.308705,1.405801,1.656488,1.517705,1.311857,1.242872,0.927152,0.424313,0.280885,0.228692,0.211590,0.198048,0.195863,0.244740,0.316543,0.281429,0.264514,-0.458800,-0.550000,0.000000,0.000000,0.000000,-0.458800,-0.550000,0.000000
0.380,0.262950,0.268994,0.308179,0.386716,0.620328,1.323687,1.313109,1.404026,1.658216,1.523510,1.319819,1.245065,0.925350,0.424593,0.279257,0.229494,0.194716,0.191123,0.210962,0.243453,0.327284,0.278881,0.263561,-0.458800,-0.550000,0.000000,0.000000,0.000000,-0.458800,-0.550000,0.000000
0.400,0.260872,0.271742,0.307831,0.396084,0.611923,1.319032,1.306115,1.407833,1.649697,1.520666,1.311982,1.237653,0.898911,0.419675,0.280795,0.224429,0.211696,0.199204,0.210563,0.230119,0.332827,0.287195,0.257882,-0.458800,-0.550000,0.000000,0.000000,0.000000,-0.458800,-0.550000,0.000000
