timestamp,range_0,range_32,range_64,range_96,range_128,range_160,range_192,range_224,range_256,range_288,range_320,range_352,odom_x,odom_y,odom_theta,v,w,gt_x,gt_y,gt_theta
0.020,0.254597,0.311066,0.622233,1.308601,1.662944,1.314031,0.893168,0.284871,0.204832,0.215354,0.310544,0.264239,-0.458800,-0.550000,0.000000,0.000000,0.000000,-0.458800,-0.550000,0.000000
0.040,0.257712,0.310780,0.611877,1.308629,1.658321,1.315731,0.919704,0.282300,0.206970,0.216352,0.320891,0.267393,-0.458800,-0.550000,0.000000,0.000000,0.000000,-0.458800,-0.550000,0.000000
0.060,0.268238,0.311455,0.611236,1.318939,1.653674,1.322823,0.919572,0.270450,0.206827,0.206506,0.320749,0.267355,-0.458800,-0.550000,0.000000,0.000000,0.000000,-0.458800,-0.550000,0.000000
0.080,0.262686,0.312170,0.614484,1.305626,1.658738,1.308008,0.918566,0.287143,0.200229,0.206068,0.316445,0.263060,-0.458800,-0.550000,0.000000,0.000000,0.000000,-0.458800,-0.550000,0.000000
0.100,0.259591,0.310919,0.617650,1.308477,1.655921,1.303265,0.896351,0.263083,0.206061,0.204299,0.312832,0.257575,-0.458800,-0.550000,0.000000,0.000000,0.000000,-0.458800,-0.550000,0.000000
0.120,0.246601,0.298014,0.619926,1.303537,1.666018,1.316158,0.896186,0.260034,0.203594,0.215403,0.321109,0.266122,-0.458800,-0.550000,0.000000,0.000000,0.000000,-0.458800,-0.550000,0.000000
0.140,0.256814,0.305809,0.613752,1.308345,1.663206,1.314040,0.910683,0.285939,0.208253,0.207108,0.312829,0.261204,-0.458800,-0.550000,0.000000,0.000000,0.000000,-0.458800,-0.550000,0.000000
0.160,0.257673,0.311269,0.627330,1.307953,1.665471,1.322620,0.892643,0.277968,0.204850,0.211676,0.311922,0.262152,-0.458800,-0.550000,0.000000,0.000000,0.000000,-0.458800,-0.550000,0.000000
0.180,0.254881,0.300181,0.627561,1.312521,1.672431,1.320181,0.892840,0.285234,0.205710,0.212755,0.313573,0.265986,-0.458800,-0.550000,0.000000,0.000000,0.000000,-0.458800,-0.550000,0.000000
0.200,0.263713,0.311637,0.623728,1.301732,1.669792,1.312918,0.913144,0.273863,0.203034,0.205159,0.321280,0.260616,-0.458800,-0.550000,0.000000,0.000000,0.000000,-0.458800,-0.550000,0.000000
0.220,0.257903,0.305121,0.613626,1.302466,1.663201,1.309025,0.920222,0.280504,0.206601,0.211649,0.323894,0.264236,-0.458800,-0.550000,0.000000,0.000000,0.000000,-0.458800,-0.550000,0.000000
