timestamp,range_0,range_4,range_8,range_12,range_16,range_20,range_24,range_28,range_32,range_36,range_40,range_44,range_48,range_52,range_56,range_60,range_64,range_68,range_72,range_76,range_80,range_84,range_88,range_92,range_96,range_100,range_104,range_108,range_112,range_116,range_120,range_124,range_128,range_132,range_136,range_140,range_144,range_148,range_152,range_156,range_160,range_164,range_168,range_172,range_176,range_180,range_184,range_188,range_192,range_196,range_200,range_204,range_208,range_212,range_216,range_220,range_224,range_228,range_232,range_236,range_240,range_244,range_248,range_252,range_256,range_260,range_264,range_268,range_272,range_276,range_280,range_284,range_288,range_292,range_296,range_300,range_304,range_308,range_312,range_316,range_320,range_324,range_328,range_332,range_336,range_340,range_344,range_348,range_352,range_356,odom_x,odom_y,odom_theta,v,w,gt_x,gt_y,gt_theta
0.020,0.254597,0.262868,0.253368,0.272565,0.269194,0.278673,0.289360,0.300591,0.311066,0.327188,0.349023,0.370025,0.398137,0.434109,0.473530,0.515144,0.622233,0.714037,0.880346,1.085966,1.319740,1.302015,1.299090,1.303144,1.308601,1.331980,1.346603,1.375293,1.405555,1.460174,1.511087,1.581130,1.662944,1.763084,1.712680,1.597639,1.531229,1.457146,1.399137,1.351778,1.314031,1.297946,1.261676,1.251288,1.240231,1.233238,1.244498,1.238105,0.893168,0.701579,0.574441,0.492879,0.426110,0.366692,0.338983,0.315516,0.284871,0.272249,0.255616,0.240102,0.230205,0.219340,0.217343,0.210768,0.204832,0.204447,0.196930,0.198717,0.202098,0.201485,0.213250,0.210415,0.215354,0.214925,0.231036,0.234436,0.246384,0.257389,0.271109,0.293544,0.310544,0.329184,0.309413,0.295877,0.284667,0.275881,0.282409,0.263024,0.264239,0.259797,-0.458800,-0.550000,0.000000,0.000000,0.000000,-0.458800,-0.550000,0.000000
0.040,0.257712,0.264724,0.277134,0.264403,0.273747,0.284155,0.282712,0.293934,0.310780,0.318739,0.338600,0.367451,0.388418,0.434241,0.460800,0.537183,0.611877,0.685479,0.867821,1.088854,1.322575,1.302718,1.297130,1.303060,1.308629,1.323076,1.352577,1.376293,1.412434,1.457216,1.503901,1.572707,1.658321,1.761865,1.711541,1.607243,1.519798,1.445533,1.398483,1.349791,1.315731,1.285049,1.263620,1.254443,1.242247,1.236354,1.246355,1.266608,0.919704,0.708730,0.577331,0.478583,0.416723,0.374105,0.328447,0.304415,0.282300,0.263932,0.258119,0.227249,0.237424,0.227592,0.209104,0.210967,0.206970,0.207282,0.197633,0.196755,0.202015,0.201514,0.204345,0.216389,0.216352,0.221804,0.228077,0.227249,0.237959,0.252767,0.269890,0.292172,0.320891,0.317753,0.297798,0.295223,0.282681,0.277581,0.269511,0.264967,0.267393,0.261814,-0.458800,-0.550000,0.000000,0.000000,0.000000,-0.458800,-0.550000,0.000000
0.060,0.268238,0.276943,0.262377,0.266052,0.272106,0.275093,0.282607,0.306130,0.311455,0.333206,0.346250,0.355605,0.398199,0.417663,0.482282,0.531761,0.611236,0.710660,0.868260,1.087332,1.321007,1.302844,1.300383,1.289617,1.318939,1.324463,1.335454,1.366445,1.403204,1.452036,1.513180,1.572197,1.653674,1.750134,1.713252,1.607101,1.516080,1.466177,1.392624,1.361771,1.322823,1.283669,1.262895,1.254402,1.237941,1.246880,1.258576,1.251850,0.919572,0.704045,0.568125,0.478479,0.434675,0.374428,0.338865,0.311361,0.270450,0.272275,0.240415,0.249805,0.233973,0.225506,0.213967,0.198796,0.206827,0.205714,0.197758,0.200009,0.188570,0.211826,0.205731,0.199264,0.206506,0.212574,0.222897,0.236529,0.237450,0.248118,0.258156,0.295326,0.320749,0.314036,0.318445,0.289364,0.294664,0.284674,0.268129,0.264241,0.267355,0.257509,-0.458800,-0.550000,0.000000,0.000000,0.000000,-0.458800,-0.550000,0.000000
0.080,0.262686,0.265962,0.262759,0.263264,0.271178,0.277812,0.282289,0.298824,0.312170,0.323738,0.340885,0.372295,0.394810,0.423009,0.465387,0.513038,0.614484,0.695618,0.875376,1.084144,1.320491,1.303589,1.300571,1.303251,1.305626,1.320959,1.341151,1.366009,1.411187,1.455936,1.515577,1.582917,1.658738,1.774857,1.703862,1.605521,1.523890,1.444285,1.395377,1.351381,1.308008,1.285564,1.265658,1.250109,1.247057,1.241328,1.247593,1.253219,0.918566,0.703478,0.570846,0.479977,0.427296,0.375143,0.335531,0.307356,0.287143,0.269085,0.244998,0.231455,0.228101,0.216890,0.220300,0.218522,0.200229,0.205198,0.198502,0.200196,0.202205,0.198512,0.202227,0.204963,0.206068,0.220558,0.226798,0.238928,0.248171,0.253182,0.282884,0.285937,0.316445,0.321846,0.296551,0.292117,0.284270,0.269857,0.270025,0.267007,0.263060,0.266624,-0.458800,-0.550000,0.000000,0.000000,0.000000,-0.458800,-0.550000,0.000000
0.100,0.259591,0.260114,0.278193,0.276043,0.276546,0.281485,0.287976,0.298484,0.310919,0.317652,0.350207,0.348243,0.403663,0.424340,0.469438,0.528602,0.617650,0.686587,0.869462,1.087741,1.312866,1.311840,1.297858,1.295934,1.308477,1.332876,1.338596,1.364240,1.408882,1.453741,1.507504,1.582011,1.655921,1.765550,1.708493,1.602589,1.521212,1.450437,1.394199,1.348468,1.303265,1.284402,1.266371,1.244624,1.241946,1.238232,1.241745,1.269376,0.896351,0.708751,0.600680,0.481277,0.427029,0.371146,0.324210,0.316526,0.263083,0.277248,0.245849,0.235644,0.232017,0.214755,0.211119,0.212607,0.206061,0.197572,0.206755,0.197481,0.194888,0.201363,0.214146,0.202406,0.204299,0.218251,0.224602,0.230853,0.247265,0.250365,0.273576,0.286010,0.312832,0.319166,0.302703,0.290939,0.281357,0.265113,0.268863,0.267719,0.257575,0.261512,-0.458800,-0.550000,0.000000,0.000000,0.000000,-0.458800,-0.550000,0.000000
0.120,0.246601,0.258331,0.259997,0.273724,0.266999,0.274908,0.283308,0.295254,0.298014,0.319335,0.356051,0.345193,0.386496,0.428680,0.487152,0.529342,0.619926,0.715745,0.877904,1.084727,1.317963,1.307257,1.305760,1.297199,1.303537,1.321200,1.345300,1.375342,1.403312,1.459387,1.503373,1.560508,1.666018,1.766521,1.710611,1.612855,1.521010,1.454670,1.401244,1.360643,1.316158,1.291744,1.263956,1.253171,1.241853,1.225241,1.239961,1.249470,0.896186,0.699298,0.567940,0.486825,0.418070,0.360986,0.324126,0.322549,0.260034,0.262056,0.250189,0.254643,0.229581,0.217032,0.219051,0.209048,0.203594,0.202670,0.202171,0.205386,0.196152,0.196422,0.202469,0.209112,0.215403,0.212682,0.230248,0.226722,0.225759,0.260465,0.274546,0.292684,0.321109,0.318963,0.306937,0.297984,0.293534,0.278006,0.276205,0.265304,0.266122,0.261419,-0.458800,-0.550000,0.000000,0.000000,0.000000,-0.458800,-0.550000,0.000000
0.140,0.256814,0.262667,0.269164,0.256040,0.273767,0.279725,0.280844,0.295900,0.305809,0.325376,0.337818,0.371093,0.401478,0.429162,0.470833,0.526578,0.613752,0.690180,0.868685,1.089387,1.318058,1.303616,1.296775,1.294102,1.308345,1.322575,1.340876,1.367048,1.404996,1.446752,1.506888,1.580176,1.663206,1.759739,1.708954,1.603363,1.520368,1.456413,1.395513,1.354834,1.314040,1.286301,1.261790,1.248253,1.241438,1.235456,1.244297,1.253896,0.910683,0.708752,0.598833,0.476716,0.418910,0.368781,0.333441,0.304188,0.285939,0.275059,0.250670,0.237181,0.227639,0.213564,0.209121,0.199684,0.208253,0.202765,0.198531,0.196400,0.193055,0.201230,0.203844,0.204688,0.207108,0.214365,0.217611,0.230238,0.245431,0.257651,0.267766,0.291027,0.312829,0.318323,0.308678,0.292253,0.287725,0.275889,0.270761,0.263137,0.261204,0.261005,-0.458800,-0.550000,0.000000,0.000000,0.000000,-0.458800,-0.550000,0.000000
0.160,0.257673,0.261681,0.260850,0.272326,0.273525,0.278199,0.286110,0.296693,0.311269,0.308821,0.346074,0.363124,0.397480,0.433192,0.478739,0.516241,0.627330,0.686785,0.874095,1.085983,1.319198,1.302116,1.304470,1.304008,1.307953,1.319882,1.343067,1.371616,1.409035,1.454939,1.510735,1.578117,1.665471,1.766726,1.711862,1.603669,1.515556,1.451576,1.402797,1.355750,1.322620,1.288783,1.266037,1.249202,1.239490,1.236314,1.243312,1.245772,0.892643,0.708452,0.571233,0.481982,0.419677,0.374244,0.317677,0.312566,0.277968,0.271179,0.257068,0.246262,0.226659,0.226843,0.208630,0.216079,0.204850,0.203905,0.197029,0.204095,0.202962,0.200839,0.201150,0.206878,0.211676,0.218405,0.225799,0.234086,0.243370,0.259915,0.274752,0.289380,0.311922,0.313510,0.303841,0.299537,0.288641,0.284470,0.273245,0.267384,0.262152,0.259056,-0.458800,-0.550000,0.000000,0.000000,0.000000,-0.458800,-0.550000,0.000000
0.180,0.254881,0.273358,0.250927,0.272952,0.270633,0.272586,0.283333,0.294547,0.300181,0.326560,0.342199,0.370385,0.391920,0.424845,0.469455,0.527609,0.627561,0.685929,0.884752,1.088491,1.313593,1.302152,1.301968,1.301269,1.312521,1.320856,1.340931,1.372695,1.402751,1.451056,1.513066,1.581272,1.672431,1.756846,1.709475,1.605319,1.517312,1.456852,1.394892,1.353666,1.320181,1.284258,1.263139,1.253035,1.235730,1.233522,1.254990,1.240398,0.892840,0.702932,0.565619,0.479838,0.417097,0.362141,0.338354,0.307309,0.285234,0.265500,0.246447,0.235524,0.230514,0.224774,0.209673,0.215286,0.205710,0.198301,0.197065,0.201593,0.200223,0.205406,0.202124,0.204742,0.212755,0.212120,0.221917,0.236416,0.246526,0.266879,0.264871,0.288207,0.313573,0.315266,0.309118,0.291632,0.286555,0.282031,0.268719,0.264486,0.265986,0.255297,-0.458800,-0.550000,0.000000,0.000000,0.000000,-0.458800,-0.550000,0.000000
0.200,0.263713,0.258539,0.259767,0.257844,0.267993,0.276266,0.281747,0.299578,0.311637,0.327534,0.337325,0.359018,0.385141,0.430826,0.470077,0.516626,0.623728,0.689858,0.879038,1.084168,1.319510,1.310480,1.303057,1.297924,1.301732,1.318027,1.343300,1.365099,1.405388,1.458583,1.510906,1.550878,1.669792,1.773094,1.714889,1.609077,1.526718,1.448487,1.397066,1.354662,1.312918,1.283288,1.269829,1.247665,1.241459,1.242355,1.240169,1.249239,0.913144,0.700294,0.594677,0.477880,0.426239,0.371750,0.332324,0.302436,0.273863,0.260700,0.252335,0.237598,0.231489,0.222458,0.213551,0.209964,0.203034,0.204218,0.205395,0.202681,0.196878,0.194616,0.199295,0.207112,0.205159,0.214757,0.229445,0.234257,0.216126,0.264239,0.281120,0.295041,0.321280,0.324675,0.300753,0.293807,0.287552,0.274767,0.267749,0.271177,0.260616,0.261025,-0.458800,-0.550000,0.000000,0.000000,0.000000,-0.458800,-0.550000,0.000000
