timestamp,range_0,range_8,range_16,range_24,range_32,range_40,range_48,range_56,range_64,range_72,range_80,range_88,range_96,range_104,range_112,range_120,range_128,range_136,range_144,range_152,range_160,range_168,range_176,range_184,range_192,range_200,range_208,range_216,range_224,range_232,range_240,range_248,range_256,range_264,range_272,range_280,range_288,range_296,range_304,range_312,range_320,range_328,range_336,range_344,range_352,odom_x,odom_y,odom_theta,v,w,gt_x,gt_y,gt_theta
0.020,0.254597,0.253368,0.269194,0.289360,0.311066,0.349023,0.398137,0.473530,0.622233,0.880346,1.319740,1.299090,1.308601,1.346603,1.405555,1.511087,1.662944,1.712680,1.531229,1.399137,1.314031,1.261676,1.240231,1.244498,0.893168,0.574441,0.426110,0.338983,0.284871,0.255616,0.230205,0.217343,0.204832,0.196930,0.202098,0.213250,0.215354,0.231036,0.246384,0.271109,0.310544,0.309413,0.284667,0.282409,0.264239,-0.458800,-0.550000,0.000000,0.000000,0.000000,-0.458800,-0.550000,0.000000
0.040,0.257712,0.277134,0.273747,0.282712,0.310780,0.338600,0.388418,0.460800,0.611877,0.867821,1.322575,1.297130,1.308629,1.352577,1.412434,1.503901,1.658321,1.711541,1.519798,1.398483,1.315731,1.263620,1.242247,1.246355,0.919704,0.577331,0.416723,0.328447,0.282300,0.258119,0.237424,0.209104,0.206970,0.197633,0.202015,0.204345,0.216352,0.228077,0.237959,0.269890,0.320891,0.297798,0.282681,0.269511,0.267393,-0.458800,-0.550000,0.000000,0.000000,0.000000,-0.458800,-0.550000,0.000000
0.060,0.268238,0.262377,0.272106,0.282607,0.311455,0.346250,0.398199,0.482282,0.611236,0.868260,1.321007,1.300383,1.318939,1.335454,1.403204,1.513180,1.653674,1.713252,1.516080,1.392624,1.322823,1.262895,1.237941,1.258576,0.919572,0.568125,0.434675,0.338865,0.270450,0.240415,0.233973,0.213967,0.206827,0.197758,0.188570,0.205731,0.206506,0.222897,0.237450,0.258156,0.320749,0.318445,0.294664,0.268129,0.267355,-0.458800,-0.550000,0.000000,0.000000,0.000000,-0.458800,-0.550000,0.000000
0.080,0.262686,0.262759,0.271178,0.282289,0.312170,0.340885,0.394810,0.465387,0.614484,0.875376,1.320491,1.300571,1.305626,1.341151,1.411187,1.515577,1.658738,1.703862,1.523890,1.395377,1.308008,1.265658,1.247057,1.247593,0.918566,0.570846,0.427296,0.335531,0.287143,0.244998,0.228101,0.220300,0.200229,0.198502,0.202205,0.202227,0.206068,0.226798,0.248171,0.282884,0.316445,0.296551,0.284270,0.270025,0.263060,-0.458800,-0.550000,0.000000,0.000000,0.000000,-0.458800,-0.550000,0.000000
0.100,0.259591,0.278193,0.276546,0.287976,0.310919,0.350207,0.403663,0.469438,0.617650,0.869462,1.312866,1.297858,1.308477,1.338596,1.408882,1.507504,1.655921,1.708493,1.521212,1.394199,1.303265,1.266371,1.241946,1.241745,0.896351,0.600680,0.427029,0.324210,0.263083,0.245849,0.232017,0.211119,0.206061,0.206755,0.194888,0.214146,0.204299,0.224602,0.247265,0.273576,0.312832,0.302703,0.281357,0.268863,0.257575,-0.458800,-0.550000,0.000000,0.000000,0.000000,-0.458800,-0.550000,0.000000
0.120,0.246601,0.259997,0.266999,0.283308,0.298014,0.356051,0.386496,0.487152,0.619926,0.877904,1.317963,1.305760,1.303537,1.345300,1.403312,1.503373,1.666018,1.710611,1.521010,1.401244,1.316158,1.263956,1.241853,1.239961,0.896186,0.567940,0.418070,0.324126,0.260034,0.250189,0.229581,0.219051,0.203594,0.202171,0.196152,0.202469,0.215403,0.230248,0.225759,0.274546,0.321109,0.306937,0.293534,0.276205,0.266122,-0.458800,-0.550000,0.000000,0.000000,0.000000,-0.458800,-0.550000,0.000000
0.140,0.256814,0.269164,0.273767,0.280844,0.305809,0.337818,0.401478,0.470833,0.613752,0.868685,1.318058,1.296775,1.308345,1.340876,1.404996,1.506888,1.663206,1.708954,1.520368,1.395513,1.314040,1.261790,1.241438,1.244297,0.910683,0.598833,0.418910,0.333441,0.285939,0.250670,0.227639,0.209121,0.208253,0.198531,0.193055,0.203844,0.207108,0.217611,0.245431,0.267766,0.312829,0.308678,0.287725,0.270761,0.261204,-0.458800,-0.550000,0.000000,0.000000,0.000000,-0.458800,-0.550000,0.000000
0.160,0.257673,0.260850,0.273525,0.286110,0.311269,0.346074,0.397480,0.478739,0.627330,0.874095,1.319198,1.304470,1.307953,1.343067,1.409035,1.510735,1.665471,1.711862,1.515556,1.402797,1.322620,1.266037,1.239490,1.243312,0.892643,0.571233,0.419677,0.317677,0.277968,0.257068,0.226659,0.208630,0.204850,0.197029,0.202962,0.201150,0.211676,0.225799,0.243370,0.274752,0.311922,0.303841,0.288641,0.273245,0.262152,-0.458800,-0.550000,0.000000,0.000000,0.000000,-0.458800,-0.550000,0.000000
0.180,0.254881,0.250927,0.270633,0.283333,0.300181,0.342199,0.391920,0.469455,0.627561,0.884752,1.313593,1.301968,1.312521,1.340931,1.402751,1.513066,1.672431,1.709475,1.517312,1.394892,1.320181,1.263139,1.235730,1.254990,0.892840,0.565619,0.417097,0.338354,0.285234,0.246447,0.230514,0.209673,0.205710,0.197065,0.200223,0.202124,0.212755,0.221917,0.246526,0.264871,0.313573,0.309118,0.286555,0.268719,0.265986,-0.458800,-0.550000,0.000000,0.000000,0.000000,-0.458800,-0.550000,0.000000
0.200,0.263713,0.259767,0.267993,0.281747,0.311637,0.337325,0.385141,0.470077,0.623728,0.879038,1.319510,1.303057,1.301732,1.343300,1.405388,1.510906,1.669792,1.714889,1.526718,1.397066,1.312918,1.269829,1.241459,1.240169,0.913144,0.594677,0.426239,0.332324,0.273863,0.252335,0.231489,0.213551,0.203034,0.205395,0.196878,0.199295,0.205159,0.229445,0.216126,0.281120,0.321280,0.300753,0.287552,0.267749,0.260616,-0.458800,-0.550000,0.000000,0.000000,0.000000,-0.458800,-0.550000,0.000000
0.220,0.257903,0.266078,0.266236,0.280210,0.305121,0.331608,0.398225,0.468042,0.613626,0.869995,1.317735,1.295486,1.302466,1.352495,1.409109,1.507610,1.663201,1.708985,1.517077,1.388324,1.309025,1.260616,1.244458,1.241076,0.920222,0.570014,0.415305,0.334610,0.280504,0.251185,0.230061,0.217486,0.206601,0.199551,0.196661,0.216223,0.211649,0.236581,0.233810,0.280845,0.323894,0.294040,0.283161,0.270285,0.264236,-0.458800,-0.550000,0.000000,0.000000,0.000000,-0.458800,-0.550000,0.000000
0.240,0.253181,0.264734,0.269777,0.288086,0.307510,0.344851,0.389116,0.475840,0.607620,0.869813,1.321467,1.297112,1.312601,1.341949,1.405362,1.501847,1.658150,1.711248,1.530939,1.398334,1.321651,1.266856,1.237113,1.238971,0.927483,0.569948,0.414641,0.335600,0.290569,0.253006,0.234165,0.211204,0.203443,0.201531,0.187028,0.194441,0.209769,0.211301,0.241999,0.273751,0.304770,0.302908,0.289270,0.266963,0.264309,-0.458800,-0.550000,0.000000,0.000000,0.000000,-0.458800,-0.550000,0.000000
0.260,0.265729,0.262417,0.275061,0.291366,0.308591,0.334924,0.387440,0.468663,0.609229,0.876790,1.316494,1.300530,1.303386,1.343812,1.405271,1.511188,1.658014,1.711500,1.529972,1.395306,1.321693,1.269157,1.237284,1.239058,0.919207,0.601895,0.420027,0.327430,0.274443,0.246199,0.228007,0.216944,0.206964,0.203405,0.190951,0.206393,0.202618,0.218308,0.259012,0.285627,0.315443,0.306289,0.291563,0.269889,0.257514,-0.458800,-0.550000,0.000000,0.000000,0.000000,-0.458800,-0.550000,0.000000
0.280,0.258371,0.266631,0.276171,0.285487,0.295386,0.347720,0.384438,0.468913,0.605074,0.879129,1.321171,1.296401,1.305764,1.344372,1.409980,1.501779,1.652874,1.706784,1.519619,1.401030,1.327590,1.258333,1.247882,1.232070,0.921080,0.582814,0.417494,0.346001,0.286265,0.251491,0.237105,0.219711,0.202344,0.202201,0.198680,0.202214,0.211625,0.224072,0.240727,0.270360,0.309386,0.301655,0.281753,0.273232,0.263600,-0.458800,-0.550000,0.000000,0.000000,0.000000,-0.458800,-0.550000,0.000000
0.300,0.255798,0.256082,0.267505,0.278230,0.318109,0.349977,0.397044,0.468243,0.621856,0.879047,1.316593,1.300561,1.317177,1.344775,1.408345,1.507788,1.660230,1.709152,1.523384,1.399570,1.314539,1.261025,1.242347,1.242953,0.918875,0.604359,0.416755,0.339286,0.287248,0.257953,0.229359,0.211245,0.207712,0.199686,0.206041,0.208108,0.219494,0.223852,0.233047,0.269219,0.313611,0.307030,0.287576,0.268822,0.267453,-0.458800,-0.550000,0.000000,0.000000,0.000000,-0.458800,-0.550000,0.000000
