t,x_est,y_est,th_est,used_beams,gt_x,gt_y,gt_th,err_xy,err_th_deg
0.020000,3.068142,3.513937,1.330114,360,-0.458800,-0.550000,0.000000,5.380976,76.210
0.040000,3.068142,3.513937,1.330114,360,-0.458800,-0.550000,0.000000,5.380976,76.210
0.060000,3.068142,3.513937,1.330114,360,-0.458800,-0.550000,0.000000,5.380976,76.210
0.080000,3.068142,3.513937,1.330114,360,-0.458800,-0.550000,0.000000,5.380976,76.210
0.100000,3.068142,3.513937,1.330114,360,-0.458800,-0.550000,0.000000,5.380976,76.210
0.120000,3.068142,3.513937,1.330114,360,-0.458800,-0.550000,0.000000,5.380976,76.210
0.140000,3.068142,3.513937,1.330114,360,-0.458800,-0.550000,0.000000,5.380976,76.210
0.160000,3.068142,3.513937,1.330114,360,-0.458800,-0.550000,0.000000,5.380976,76.210
0.180000,3.068142,3.513937,1.330114,360,-0.458800,-0.550000,0.000000,5.380976,76.210
0.200000,3.068142,3.513937,1.330114,360,-0.458800,-0.550000,0.000000,5.380976,76.210
0.220000,3.068142,3.513937,1.330114,360,-0.458800,-0.550000,0.000000,5.380976,76.210
0.240000,3.068142,3.513937,1.330114,360,-0.458800,-0.550000,0.000000,5.380976,76.210
0.260000,3.068142,3.513937,1.330114,360,-0.458800,-0.550000,0.000000,5.380976,76.210
0.280000,3.068142,3.513937,1.330114,360,-0.458800,-0.550000,0.000000,5.380976,76.210
0.300000,3.068142,3.513937,1.330114,360,-0.458800,-0.550000,0.000000,5.380976,76.210
0.320000,3.068142,3.513937,1.330114,360,-0.458800,-0.550000,0.000000,5.380976,76.210
0.340000,3.068142,3.513937,1.330114,360,-0.458800,-0.550000,0.000000,5.380976,76.210
0.360000,3.068142,3.513937,1.330114,360,-0.458800,-0.550000,0.000000,5.380976,76.210
0.380000,3.068142,3.513937,1.330114,360,-0.458800,-0.550000,0.000000,5.380976,76.210
0.400000,3.068142,3.513937,1.330114,360,-0.458800,-0.550000,0.000000,5.380976,76.210
0.420000,3.068142,3.513937,1.330114,360,-0.458800,-0.550000,0.000000,5.380976,76.210
0.440000,3.068142,3.513937,1.330114,360,-0.458800,-0.550000,0.000000,5.380976,76.210
0.460000,3.068142,3.513937,1.330114,360,-0.458800,-0.550000,0.000000,5.380976,76.210
0.480000,3.068142,3.513937,1.330114,360,-0.458800,-0.550000,0.000000,5.380976,76.210
0.500000,3.068142,3.513937,1.330114,360,-0.458800,-0.550000,0.000000,5.380976,76.210
0.520000,3.068142,3.513937,1.330114,360,-0.458800,-0.550000,0.000000,5.380976,76.210
0.540000,3.068142,3.513937,1.330114,360,-0.458800,-0.550000,0.000000,5.380976,76.210
0.560000,3.068142,3.513937,1.330114,360,-0.458800,-0.550000,0.000000,5.380976,76.210
0.580000,3.068142,3.513937,1.330114,360,-0.458800,-0.550000,0.000000,5.380976,76.210
0.600000,3.068142,3.513937,1.330114,360,-0.458800,-0.550000,0.000000,5.380976,76.210
0.620000,3.068142,3.513937,1.330114,360,-0.458800,-0.550000,0.000000,5.380976,76.210
0.640000,3.068142,3.513937,1.330114,360,-0.458800,-0.550000,0.000000,5.380976,76.210
0.660000,3.068142,3.513937,1.330114,360,-0.458800,-0.550000,0.000000,5.380976,76.210
0.680000,3.068142,3.513937,1.330114,360,-0.458800,-0.550000,0.000000,5.380976,76.210
0.700000,3.068142,3.513937,1.330114,360,-0.458800,-0.550000,0.000000,5.380976,76.210
0.720000,3.068142,3.513937,1.330114,360,-0.458800,-0.550000,0.000000,5.380976,76.210
0.740000,3.068142,3.513937,1.330114,360,-0.458800,-0.550000,0.000000,5.380976,76.210
0.760000,3.068142,3.513937,1.330114,360,-0.458800,-0.550000,0.000000,5.380976,76.210
0.780000,3.068142,3.513937,1.330114,360,-0.458800,-0.550000,0.000000,5.380976,76.210
0.800000,3.068142,3.513937,1.330114,360,-0.458800,-0.550000,0.000000,5.380976,76.210
0.820000,3.068142,3.513937,1.330114,360,-0.458800,-0.550000,0.000000,5.380976,76.210
0.840000,3.068142,3.513937,1.330114,360,-0.458800,-0.550000,0.000000,5.380976,76.210
0.860000,3.068142,3.513937,1.330114,360,-0.458800,-0.550000,0.000000,5.380976,76.210
0.880000,3.068142,3.513937,1.330114,360,-0.458800,-0.550000,0.000000,5.380976,76.210
0.900000,3.068142,3.513937,1.330114,360,-0.458800,-0.550000,0.000000,5.380976,76.210
0.920000,3.068142,3.513937,1.330114,360,-0.458800,-0.550000,0.000000,5.380976,76.210
0.940000,3.068142,3.513937,1.330114,360,-0.458800,-0.550000,0.000000,5.380976,76.210
0.960000,3.068142,3.513937,1.330114,360,-0.458800,-0.550000,0.000000,5.380976,76.210
0.980000,3.068142,3.513937,1.330114,360,-0.458800,-0.550000,0.000000,5.380976,76.210
1.000000,3.068142,3.513937,1.330114,360,-0.458800,-0.550000,0.000000,5.380976,76.210
1.020000,3.068142,3.513937,1.330114,360,-0.458800,-0.550000,0.000000,5.380976,76.210
1.040000,3.068142,3.513937,1.330114,360,-0.458800,-0.550000,0.000000,5.380976,76.210
1.060000,3.068142,3.513937,1.330114,360,-0.458800,-0.550000,0.000000,5.380976,76.210
1.080000,3.068142,3.513937,1.330114,360,-0.458800,-0.550000,0.000000,5.380976,76.210
1.100000,3.068142,3.513937,1.330114,360,-0.458800,-0.550000,0.000000,5.380976,76.210
1.120000,3.068142,3.513937,1.330114,360,-0.458800,-0.550000,0.000000,5.380976,76.210
1.140000,3.068142,3.513937,1.330114,360,-0.458800,-0.550000,0.000000,5.380976,76.210
1.160000,3.068142,3.513937,1.330114,360,-0.458800,-0.550000,0.000000,5.380976,76.210
1.180000,3.068142,3.513937,1.330114,360,-0.458800,-0.550000,0.000000,5.380976,76.210
1.200000,3.068142,3.513937,1.330114,360,-0.458800,-0.550000,0.000000,5.380976,76.210
1.220000,3.068142,3.513937,1.330114,360,-0.458800,-0.550000,0.000000,5.380976,76.210
1.240000,3.068142,3.513937,1.330114,360,-0.458800,-0.550000,0.000000,5.380976,76.210
1.260000,3.068142,3.513937,1.330114,360,-0.458800,-0.550000,0.000000,5.380976,76.210
1.280000,3.068142,3.513937,1.330114,360,-0.458800,-0.550000,0.000000,5.380976,76.210
1.300000,3.068142,3.513937,1.330114,360,-0.458800,-0.550000,0.000000,5.380976,76.210
1.320000,3.068142,3.513937,1.330114,360,-0.458800,-0.550000,0.000000,5.380976,76.210
1.340000,3.068142,3.513937,1.330114,360,-0.458800,-0.550000,0.000000,5.380976,76.210
1.360000,3.068142,3.513937,1.330114,360,-0.458800,-0.550000,0.000000,5.380976,76.210
1.380000,3.068142,3.513937,1.330114,360,-0.458800,-0.550000,0.000000,5.380976,76.210
1.400000,3.068142,3.513937,1.330114,360,-0.458800,-0.550000,0.000000,5.380976,76.210
1.420000,3.068142,3.513937,1.330114,360,-0.458800,-0.550000,0.000000,5.380976,76.210
1.440000,3.068142,3.513937,1.330114,360,-0.458800,-0.550000,0.000000,5.380976,76.210
1.460000,3.068142,3.513937,1.330114,360,-0.458800,-0.550000,0.000000,5.380976,76.210
1.480000,3.068142,3.513937,1.330114,360,-0.458800,-0.550000,0.000000,5.380976,76.210
1.500000,3.068142,3.513937,1.330114,360,-0.458800,-0.550000,0.000000,5.380976,76.210
1.520000,3.068142,3.513937,1.330114,360,-0.458800,-0.550000,0.000000,5.380976,76.210
1.540000,3.068142,3.513937,1.330114,360,-0.458800,-0.550000,0.000000,5.380976,76.210
1.560000,3.068142,3.513937,1.330114,360,-0.458800,-0.550000,0.000000,5.380976,76.210
1.580000,3.068142,3.513937,1.330114,360,-0.458800,-0.550000,0.000000,5.380976,76.210
1.600000,3.068142,3.513937,1.330114,360,-0.458800,-0.550000,0.000000,5.380976,76.210
1.620000,3.068142,3.513937,1.330114,360,-0.458800,-0.550000,0.000000,5.380976,76.210
1.640000,3.068142,3.513937,1.330114,360,-0.458800,-0.550000,0.000000,5.380976,76.210
1.660000,3.068142,3.513937,1.330114,360,-0.458800,-0.550000,0.000000,5.380976,76.210
1.680000,3.068142,3.513937,1.330114,360,-0.458800,-0.550000,0.000000,5.380976,76.210
1.700000,3.068142,3.513937,1.330114,360,-0.458800,-0.550000,0.000000,5.380976,76.210
1.720000,3.068142,3.513937,1.330114,360,-0.458800,-0.550000,0.000000,5.380976,76.210
1.740000,3.068142,3.513937,1.330114,360,-0.458800,-0.550000,0.000000,5.380976,76.210
1.760000,3.068142,3.513937,1.330114,360,-0.458800,-0.550000,0.000000,5.380976,76.210
1.780000,3.068142,3.513937,1.330114,360,-0.458800,-0.550000,0.000000,5.380976,76.210
1.800000,3.068142,3.513937,1.330114,360,-0.458800,-0.550000,0.000000,5.380976,76.210
1.820000,3.068142,3.513937,1.330114,360,-0.458800,-0.550000,0.000000,5.380976,76.210
