timestamp,est_x,est_y,est_theta,gt_x,gt_y,gt_theta,error_m,update_time_ms,kidnapped
0.020000,-0.615607,-0.528646,1.162632,-0.458800,-0.550000,0.000000,0.158254,7.394400,0
0.040000,-0.523450,-0.472391,1.522283,-0.458800,-0.550000,0.000000,0.101009,8.075000,0
0.060000,-0.505624,-0.485843,1.540193,-0.458800,-0.550000,0.000000,0.079426,7.711100,0
0.080000,-0.499078,-0.493278,1.562246,-0.458800,-0.550000,0.000000,0.069568,7.630600,0
0.100000,-0.500984,-0.495217,1.566124,-0.458800,-0.550000,0.000000,0.069143,7.494400,0
0.120000,-0.506537,-0.485936,1.545322,-0.458800,-0.550000,0.000000,0.079893,7.955600,0
0.140000,-0.497203,-0.487346,1.558115,-0.458800,-0.550000,0.000000,0.073487,15.514900,0
0.160000,-0.498382,-0.483598,1.556784,-0.458800,-0.550000,0.000000,0.077304,10.798900,0
0.180000,-0.503005,-0.489100,1.561428,-0.458800,-0.550000,0.000000,0.075253,8.214300,0
0.200000,-0.501945,-0.496645,1.562884,-0.458800,-0.550000,0.000000,0.068617,7.481100,0
0.220000,-0.501678,-0.501378,1.570827,-0.458800,-0.550000,0.000000,0.064827,7.979100,0
0.240000,-0.501893,-0.486329,1.555497,-0.458800,-0.550000,0.000000,0.076883,7.616500,0
0.260000,-0.499971,-0.483401,1.547875,-0.458800,-0.550000,0.000000,0.078298,8.984400,0
0.280000,-0.502158,-0.489828,1.558596,-0.458800,-0.550000,0.000000,0.074166,14.249500,0
0.300000,-0.497436,-0.487354,1.572364,-0.458800,-0.550000,0.000000,0.073602,9.417000,0
0.320000,-0.498279,-0.493402,1.562239,-0.458800,-0.550000,0.000000,0.069007,10.542100,0
0.340000,-0.499036,-0.492872,1.563681,-0.458800,-0.550000,0.000000,0.069875,13.162600,0
0.360000,-0.504363,-0.496515,1.562146,-0.458800,-0.550000,0.000000,0.070262,7.430900,0
0.380000,-0.502894,-0.486952,1.553228,-0.458800,-0.550000,0.000000,0.076937,7.378100,0
0.400000,-0.503616,-0.494571,1.566206,-0.458800,-0.550000,0.000000,0.071280,7.899600,0
0.420000,-0.502839,-0.491988,1.563675,-0.458800,-0.550000,0.000000,0.072834,7.972500,0
0.440000,-0.498642,-0.491049,1.555741,-0.458800,-0.550000,0.000000,0.071152,7.403100,0
0.460000,-0.502927,-0.486782,1.550071,-0.458800,-0.550000,0.000000,0.077095,7.377400,0
0.480000,-0.503192,-0.483700,1.540201,-0.458800,-0.550000,0.000000,0.079790,7.620200,0
0.500000,-0.500800,-0.493706,1.557910,-0.458800,-0.550000,0.000000,0.070236,7.909400,0
0.520000,-0.499411,-0.490765,1.568054,-0.458800,-0.550000,0.000000,0.071820,7.392300,0
